                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.70949,                0.64035,                0.87681,                  0.821,                0.81737,                0.83679,                0.65417,                0.74844,                 0.9089,                0.88572,               0.000656,               0.000656,               0.000656
                     51,                0.72415,                0.64592,                0.87982,                0.77681,                0.79464,                0.81979,                0.64259,                0.76805,                0.95021,                0.89118,             0.00064362,             0.00064362,             0.00064362
                     52,                0.72041,                0.61417,                0.87412,                0.84708,                 0.7871,                0.82942,                0.65556,                0.74843,                 0.9379,                0.88745,             0.00063125,             0.00063125,             0.00063125
                     53,                0.71286,                 0.6163,                0.87623,                0.81869,                0.79696,                0.81615,                0.64938,                0.73011,                 0.9977,                0.88066,             0.00061887,             0.00061887,             0.00061887
                     54,                0.70777,                0.62841,                0.87755,                0.79986,                0.76637,                0.79917,                0.62576,                 0.7475,                  1.042,                0.88905,              0.0006065,              0.0006065,              0.0006065
                     55,                0.69971,                0.60847,                0.87218,                0.78741,                0.81827,                0.81481,                0.64371,                0.75036,                0.87736,                0.89227,             0.00059413,             0.00059413,             0.00059413
                     56,                0.70047,                0.62901,                0.87341,                0.78717,                0.75862,                 0.8107,                 0.6337,                0.78443,                0.98644,                0.89334,             0.00058175,             0.00058175,             0.00058175
                     57,                0.70706,                0.63904,                0.88115,                0.78648,                0.75182,                 0.8019,                0.63539,                0.78796,                 1.0589,                 0.8996,             0.00056938,             0.00056938,             0.00056938
                     58,                0.70811,                0.60328,                0.86934,                0.81608,                0.79146,                0.82527,                0.63976,                0.76025,                0.99221,                0.88985,               0.000557,               0.000557,               0.000557
                     59,                0.69631,                0.58263,                0.87302,                0.78854,                0.83435,                0.82556,                0.65073,                0.76068,                0.86172,                0.88386,             0.00054463,             0.00054463,             0.00054463
                     60,                 0.6748,                0.57828,                0.86505,                0.85701,                0.77539,                 0.8363,                0.66511,                0.75473,                0.86631,                0.88348,             0.00053225,             0.00053225,             0.00053225
                     61,                0.67886,                0.57274,                0.86985,                0.80399,                0.81943,                0.83602,                0.66698,                 0.7457,                0.84798,                0.88168,             0.00051988,             0.00051988,             0.00051988
                     62,                0.66927,                0.56919,                0.86729,                0.78533,                0.82186,                0.83061,                0.66789,                0.72882,                0.89822,                0.87445,              0.0005075,              0.0005075,              0.0005075
                     63,                0.68783,                0.56339,                0.86879,                0.83732,                0.77261,                0.83193,                0.66668,                0.72611,                0.89456,                 0.8771,             0.00049513,             0.00049513,             0.00049513
                     64,                0.67322,                0.57481,                0.86753,                0.82589,                0.80008,                 0.8213,                0.65562,                0.73688,                0.95515,                 0.8772,             0.00048275,             0.00048275,             0.00048275
                     65,                0.66743,                0.56106,                 0.8669,                 0.8602,                0.79345,                0.84127,                0.66842,                0.75479,                0.88845,                0.88059,             0.00047038,             0.00047038,             0.00047038
                     66,                0.66242,                0.55141,                0.86887,                0.79909,                0.82048,                0.82218,                0.66609,                0.74405,                0.91285,                0.88041,               0.000458,               0.000458,               0.000458
                     67,                0.67094,                0.56543,                0.86888,                0.77978,                0.86758,                0.83602,                0.66953,                0.73929,                0.86516,                0.88163,             0.00044563,             0.00044563,             0.00044563
                     68,                0.69208,                0.57969,                0.86946,                0.78948,                 0.8306,                0.83611,                 0.6727,                 0.7511,                0.91866,                0.88094,             0.00043325,             0.00043325,             0.00043325
                     69,                0.66137,                0.55838,                0.86111,                0.82692,                0.82273,                0.84379,                0.68243,                0.72671,                 0.8885,                0.87918,             0.00042087,             0.00042087,             0.00042087
                     70,                0.67144,                0.55411,                0.86504,                 0.8456,                0.81405,                0.84213,                0.68124,                0.72673,                0.85312,                0.87676,              0.0004085,              0.0004085,              0.0004085
                     71,                 0.6519,                0.53794,                0.85871,                0.76897,                0.82748,                0.82683,                0.66898,                0.77257,                 1.0364,                0.89049,             0.00039613,             0.00039613,             0.00039613
                     72,                 0.6645,                0.55365,                0.86083,                0.80019,                0.79554,                0.82676,                0.66312,                0.76592,                0.93717,                0.89111,             0.00038375,             0.00038375,             0.00038375
                     73,                0.64354,                0.52963,                0.86243,                0.76076,                0.84403,                0.81948,                0.66475,                0.73581,                0.94942,                0.87581,             0.00037138,             0.00037138,             0.00037138
                     74,                0.66564,                0.54687,                0.86583,                0.79909,                0.84124,                0.83789,                0.68004,                0.73146,                0.90451,                0.88036,               0.000359,               0.000359,               0.000359
                     75,                0.64323,                0.52959,                0.86067,                 0.8134,                0.77596,                0.81391,                0.64869,                0.74096,                0.98502,                0.88972,             0.00034663,             0.00034663,             0.00034663
                     76,                0.64583,                 0.5265,                0.85826,                0.80758,                0.76703,                0.80395,                0.63829,                0.75684,                0.92582,                0.87878,             0.00033425,             0.00033425,             0.00033425
                     77,                0.64495,                0.51936,                0.85873,                0.80935,                0.76886,                0.79524,                0.63278,                0.74326,                0.99892,                0.87808,             0.00032188,             0.00032188,             0.00032188
                     78,                0.63679,                0.52174,                0.86162,                0.80474,                0.80915,                0.82322,                0.65888,                 0.7462,                0.95947,                0.88225,              0.0003095,              0.0003095,              0.0003095
                     79,                0.62553,                0.50319,                0.85282,                0.80845,                0.77419,                0.82298,                0.65742,                0.73663,                0.94617,                0.88365,             0.00029713,             0.00029713,             0.00029713
                     80,                0.62877,                0.50634,                0.85596,                0.84477,                0.79381,                0.83725,                0.67287,                0.74422,                0.88719,                0.88663,             0.00028475,             0.00028475,             0.00028475
                     81,                0.63281,                0.52196,                0.86112,                0.81154,                0.80737,                 0.8286,                0.66337,                0.76045,                0.90422,                0.89041,             0.00027237,             0.00027237,             0.00027237
                     82,                0.61291,                0.49713,                0.85404,                0.84461,                0.79725,                0.83399,                0.66384,                0.75438,                0.91986,                0.89068,                0.00026,                0.00026,                0.00026
                     83,                0.62323,                0.50749,                0.85547,                0.83628,                0.82855,                0.84465,                0.67854,                0.75182,                 0.8938,                0.88861,             0.00024762,             0.00024762,             0.00024762
                     84,                0.61104,                0.48814,                0.84785,                0.81747,                0.82884,                 0.8392,                0.67902,                 0.7476,                0.93232,                0.88532,             0.00023525,             0.00023525,             0.00023525
                     85,                0.61643,                0.49586,                0.85542,                0.84279,                0.79923,                0.83713,                0.67549,                0.72989,                0.92315,                0.87978,             0.00022288,             0.00022288,             0.00022288
                     86,                0.62079,                0.48623,                0.85232,                0.77088,                0.83833,                0.82965,                0.66976,                0.72691,                 0.9173,                0.87593,              0.0002105,              0.0002105,              0.0002105
                     87,                0.63155,                0.49435,                 0.8602,                0.85441,                0.74267,                0.81769,                0.66097,                0.73596,                0.95295,                 0.8802,             0.00019813,             0.00019813,             0.00019813
                     88,                0.60984,                0.48642,                0.85223,                0.83508,                0.79773,                0.82525,                0.66938,                0.72387,                 0.9272,                 0.8796,             0.00018575,             0.00018575,             0.00018575
                     89,                0.61307,                 0.4916,                0.85015,                0.83989,                0.79993,                0.81895,                0.67092,                0.72009,                0.93519,                0.87769,             0.00017338,             0.00017338,             0.00017338
