                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.61046,                 0.4718,                0.85851,                0.81833,                0.77675,                0.83011,                0.67503,                0.75627,                0.90641,                0.90807,              0.0007055,              0.0007055,              0.0007055
                     47,                0.61157,                0.48621,                0.85265,                0.81371,                0.75012,                0.81641,                0.66451,                0.76065,                 1.1271,                0.91086,             0.00069313,             0.00069313,             0.00069313
                     48,                0.61607,                0.45817,                0.85015,                0.80983,                0.80613,                0.82809,                0.67057,                0.75521,                0.97855,                0.91133,             0.00068075,             0.00068075,             0.00068075
                     49,                0.61739,                0.48391,                0.85779,                0.79311,                0.81997,                0.82651,                0.66651,                0.75691,                 1.0787,                0.90885,             0.00066838,             0.00066838,             0.00066838
                     50,                0.58607,                0.45564,                0.84738,                0.78722,                0.85566,                0.84205,                0.67977,                0.75147,                0.97993,                0.90307,               0.000656,               0.000656,               0.000656
                     51,                0.61277,                0.47062,                0.85158,                0.82785,                0.78478,                0.82775,                0.65603,                0.73963,                 0.9763,                0.89302,             0.00064362,             0.00064362,             0.00064362
                     52,                0.59926,                0.44491,                0.84788,                0.80998,                 0.8088,                0.83775,                 0.6801,                0.73154,                0.87836,                0.88444,             0.00063125,             0.00063125,             0.00063125
                     53,                0.59573,                0.44062,                0.84993,                0.78204,                0.83236,                0.83972,                0.68118,                0.71588,                0.83507,                0.87911,             0.00061887,             0.00061887,             0.00061887
                     54,                0.58815,                0.45658,                0.85012,                0.77796,                0.83575,                0.83735,                0.67949,                0.73194,                0.89112,                0.88421,              0.0006065,              0.0006065,              0.0006065
                     55,                0.58179,                0.44339,                0.84369,                0.81564,                0.82019,                0.84139,                0.67815,                0.72484,                0.84363,                0.88611,             0.00059413,             0.00059413,             0.00059413
                     56,                0.57791,                0.43805,                0.84515,                0.79637,                0.81329,                0.83087,                0.67397,                0.73093,                0.92822,                0.89043,             0.00058175,             0.00058175,             0.00058175
                     57,                0.58308,                0.45692,                0.85145,                0.81018,                0.83172,                0.84416,                0.68272,                0.73671,                0.86908,                0.89107,             0.00056938,             0.00056938,             0.00056938
                     58,                0.57708,                0.43148,                0.84004,                0.80047,                0.80042,                0.81613,                 0.6566,                 0.7396,                 1.0554,                0.89229,               0.000557,               0.000557,               0.000557
                     59,                0.57396,                0.42266,                0.84597,                0.82284,                0.76365,                0.82346,                0.66478,                0.76124,                 1.1617,                0.90017,             0.00054463,             0.00054463,             0.00054463
                     60,                0.56006,                0.41289,                0.84088,                0.82817,                 0.7661,                0.82932,                0.66905,                0.75903,                0.98281,                0.90043,             0.00053225,             0.00053225,             0.00053225
                     61,                0.56512,                0.41632,                 0.8427,                0.84547,                0.77605,                0.83479,                0.67428,                0.74591,                0.93489,                0.90173,             0.00051988,             0.00051988,             0.00051988
                     62,                0.56354,                0.42409,                0.84451,                0.85457,                0.76473,                0.83239,                0.66935,                0.74079,                 0.9712,                0.90025,              0.0005075,              0.0005075,              0.0005075
                     63,                0.57578,                0.41782,                0.84367,                0.83535,                0.80495,                0.84143,                0.68511,                0.72946,                0.90764,                0.88733,             0.00049513,             0.00049513,             0.00049513
                     64,                 0.5584,                0.42182,                0.84278,                 0.8139,                0.82101,                0.83341,                0.67905,                0.72075,                0.94422,                0.88364,             0.00048275,             0.00048275,             0.00048275
                     65,                0.56333,                0.41851,                0.84316,                0.84256,                0.80003,                0.84791,                  0.687,                 0.7283,                 0.9009,                0.89029,             0.00047038,             0.00047038,             0.00047038
                     66,                 0.5503,                0.41082,                0.84403,                0.85065,                0.79231,                0.84818,                 0.6925,                0.72879,                0.88652,                0.89459,               0.000458,               0.000458,               0.000458
                     67,                0.56037,                0.41415,                0.84585,                0.83795,                0.80367,                0.84273,                0.68749,                0.71376,                0.89884,                0.89219,             0.00044563,             0.00044563,             0.00044563
                     68,                0.57498,                0.43511,                0.84668,                0.79655,                0.84182,                0.83965,                0.67748,                0.72804,                0.92956,                0.89075,             0.00043325,             0.00043325,             0.00043325
                     69,                 0.5656,                 0.4195,                0.84314,                0.80556,                0.82144,                0.84064,                0.69075,                0.72497,                0.92593,                0.88853,             0.00042087,             0.00042087,             0.00042087
                     70,                0.55928,                0.41263,                0.83951,                0.82493,                0.81112,                0.84625,                0.69388,                0.73102,                0.92147,                0.88473,              0.0004085,              0.0004085,              0.0004085
